name,city,website,type_id,active,CP
IUT Lyon 1 - Site de Bourg-en-Bresse (Alimentec),BOURG-EN-BRESSE,"iut.univ-lyon1.fr
www.alimentec.com",3,TRUE,1000
du Bugey,HAUTEVILLE-LOMPNES,la-biere-du-plateau.webnode.fr,3,TRUE,1110
La Corneille,PIZAY,brasserielacorneille.fr,3,TRUE,1120
Piva,BELLEYDOUX,lapiva.fr,3,TRUE,1130
L'Etincelle,NANTUA,www.brasserie-letincelle.fr,3,TRUE,1130
Sous Le Bois,SAINT-DIDIER-SUR-CHALARONNE,www.souslebois.com,3,TRUE,1140
Da Costa,CHAZEY-SUR-AIN,brasserie-da-costa.fr,3,TRUE,1150
"La Leymentaise
Cebast",LEYMENT,laleymentaise.fr,3,TRUE,1150
"3B
Brasserie Bassin Bellegardien",BILLIAT,,3,TRUE,1200
Bière Yourself,FERNEY-VOLTAIRE,www.biereyourself.fr,3,TRUE,1210
"Gessienne
SARL STAJAM",ORNEX,www.brasseriegessienne.fr,3,TRUE,1210
de Grilly,GRILLY,brasseriedegrilly.fr,3,TRUE,1220
L'Échappée Belle,GRILLY,brasseriedegrilly.fr,3,TRUE,1220
Puzzle,LENT,,3,TRUE,1240
Saint Clair,MONTAGNAT,www.brasserie-saint-clair.com,3,TRUE,1250
"Jean-Yves Martinal
Ferme-Brasserie de Belmonthé",BELMONT-LUTHÉZIEU,,3,TRUE,1260
La Gevrinoise,ANDERT-ET-CONDON,,3,TRUE,1300
du Gland,IZIEU,brasseriedugland-bugey.fr,3,TRUE,1300
Two Hats Brewing,PEYRIEU,www.twohatsbrewing.fr,3,TRUE,1300
de la Pérouze,BÂGÉ-DOMMARTIN,,3,TRUE,1380
La Luciole,BÂGÉ-DOMMARTIN,,3,TRUE,1380
B.L.A.S.T,CIVRIEUX,,3,TRUE,1390
La Poule,NEUVILLE-LES-DAMES,bierelapoule.fr,3,TRUE,1400
La Gorgée de Valserine,CHAMPFROMIER,lagorgeedevalserine.fr,3,TRUE,1410
Mac Never's and Co.,MAILLAT,www.macnevers-and-co.beer,3,TRUE,1430
Grange Noire,SAINT-ALBAN,grangenoire.com,3,TRUE,1450
ÔBrasseur,SAINT-GENIS-POUILLY,www.obrasseur.com,3,TRUE,1630
Les Indomptables,BOYEUX-SAINT-JÉRÔME,www.brasserielesindomptables.com,3,TRUE,1640
La 13,JUJURIEUX,,3,TRUE,1640
Rivière d'Ain,JUJURIEUX,rivieredain.fr,3,TRUE,1640
The Brew LAB,BEYNOST,brewlab.fr,3,TRUE,1700
Malt Emoi,MEXIMIEUX,www.malt-emoi.fr,3,TRUE,1800
de la Montagne Couronnée,LAON,www.brasserie-bmc.fr,3,TRUE,2000
Les 3 Brasseurs,SAINT-QUENTIN,www.les3brasseurs.com,3,TRUE,2100
La Musteline,JUMIGNY,la-musteline.beer,3,TRUE,2160
La Trilux,BELLEU,,3,TRUE,2200
Bières'n'Roses,VILLENEUVE-SAINT-GERMAIN,,3,TRUE,2200
Grizdal,CIRY-SALSOGNE,www.brasseriegrizdal.fr,3,TRUE,2220
Marl'Aisne,MARLE,,3,TRUE,2250
de la Cense,BICHANCOURT,www.biere-cheveche.com,3,TRUE,2300
La Chopine,CONDÉ-EN-BRIE,brasserielachopine.wixsite.com/site,3,TRUE,2330
de l'Escaut,VENDHUILE,,3,TRUE,2420
des Fables,ROZOY-BELLEVALLE,brasseriedesfables.wixsite.com/brasserie-des-fables,3,TRUE,2540
"Bulle's Not Dead
La Germoise",GERMAINE,www.lagermoise.fr,3,TRUE,2590
de Voas,FOLEMBRAY,www.voas.fr,3,TRUE,2670
Jack's Farm,BERRIEUX,brasserie-jackfarmer.com,3,TRUE,2820
Les 3 Loups,TRÉLOU-SUR-MARNE,brasserie-les3loups.com,3,TRUE,2850
"du Houblon
Le Houblon Gourmand",NANTEUIL LA FOSSE,www.cervoise.fr,3,TRUE,2880
La Mousse Bourbonnaise,AVERMES,www.la-mousse-bourbonnaise.fr,3,TRUE,3000
Blondel,MONTLUÇON,www.brasserieblondel.fr,3,TRUE,3100
Brew Vernet,BROÛT-VERNET,,3,TRUE,3110
Back In Malt,VARENNES-SUR-ALLIER,brasseriebackinmalt.fr,3,TRUE,3150
JNT,VALLON-EN-SULLY,,3,TRUE,3190
La Comète,VICHY,la-station-vichy.fr,3,TRUE,3200
Paysanne de la Maguin,CINDRÉ,,3,TRUE,3220
Ch'Hop'Ti,CRESSANGES,,3,TRUE,3240
de la Motte-Juillet,TREBAN,www.lamottejuillet.fr,3,TRUE,3240
Saint Nicolas da Bière,SAINT-NICOLAS-DES-BIEFS,,3,TRUE,3250
du Loup,LE VEURDRE,,3,TRUE,3320
Les Nouveaux Druides,HURIEL,,3,TRUE,3380
"du Père Saint'Oy
3.AS",SALIGNY-SUR-ROUDON,www.lasaintoy.fr,3,TRUE,3470
Lady Ale,SAINT-POURÇAIN-SUR-SIOULE,,3,TRUE,3500
du Jugement Dernier,MAZERIER,jugementdernier.beer,3,TRUE,3800
La Brass'Bastelle,VOLX,,3,TRUE,4130
de l'Aubrée,SELONNET,www.brasseriedelaubree.com,3,TRUE,4140
"de Thorame Basse
Cordoeil",THORAME BASSE,"www.thorame-basse.com
www.cordoeil.com",3,TRUE,4170
des Basses Alpes,VILLENEUVE,www.brasserie-des-basses-alpes.fr,3,TRUE,4180
Bière de la Durance,SISTERON,bieredeladurance.com,3,TRUE,4200
Bulle,MONTLAUX,,3,TRUE,4230
du Forest,CHÂTEAUFORT,,3,TRUE,4250
La Serpentine,CÉRESTE,laserpentine.co,3,TRUE,4280
"La Zero4
Volumna 930",VOLONNE,zero4.beer,3,TRUE,4290
Oso Craft,MALIJAI,www.oso-craft.fr,3,TRUE,4350
Saveurs & Nature,MOUSTIERS-SAINTE-MARIE,,3,TRUE,4360
des Hautes Vallées,SAINT-PAUL-SUR-UBAYE,www.la-sauvage.fr,3,TRUE,4530
Cérévisia,ORAISON,brasserieartisanalecerevisia.fr,3,TRUE,4700
Esotérique,SAINT-MICHEL-L'OBSERVATOIRE,,3,TRUE,4870
des Grands Cols,BRIANÇON,brasseriedesgrandscols.com,3,TRUE,5100
"3B
Brasserie Bio de Briançon",BRIANÇON,,3,TRUE,5100
"Au Chevalier Barbu
SARL Commanderie de Saint Antoine",NÉVACHE,www.chevalierbarbu.com/fr,3,TRUE,5100
"Le Monde d'Après
Brewpub des Aigues Froides",L'ARGENTIÈRE-LA-BESSÉE,,3,TRUE,5120
de Réallon,RÉALLON,,3,TRUE,5160
La Cuche,SAINT-ANDRÉ-D'EMBRUN,lacuche.com,3,TRUE,5200
Apex Brewpub,CHORGES,basp05.com,3,TRUE,5230
de Serre-Ponçon,CHORGES,basp05.com,3,TRUE,5230
Interstellaire du Dévoluy,DÉVOLUY,brasserie-interstellaire-du-devoluy.business.site,3,TRUE,5250
d'Ancelle,ANCELLE,www.brasserieancelle.fr,3,TRUE,5260
Walpine,SAINT-JEAN-SAINT-NICOLAS,www.walpine.fr,3,TRUE,5260
L&L Alphand,VALLOUISE,www.brasserie-alphand.com,3,TRUE,5290
Kippis,UPAIX,www.microbrasseriekippis.com,3,TRUE,5300
des Gorges de la Méouge,VAL BUËCH-MÉOUGE,brasseriemeouge.com,3,TRUE,5300
Floraison Sauvage,LA ROCHE-DES-ARNAUDS,www.floraisonsauvage.fr,3,TRUE,5400
La Queyrassine,RISTOLAS,,3,TRUE,5460
Butcher's,GUILLESTRE,brasserie-butchers.com,3,TRUE,5600
du Guillestrois,GUILLESTRE,,3,TRUE,5600
Mousquif,ORPIERRE,,3,TRUE,5700
des Gaillards,AUBESSAGNE,brasseriedesgaillards.fr,3,TRUE,5800
Alliance Brasserie,NICE,www.la-bonnebiere.com,3,TRUE,6000
Bleue,NICE,brasseriebleue.com,3,TRUE,6000
de Nice,NICE,brasserie-nice.fr,3,TRUE,6000
Les 3 Brasseurs,NICE,www.les3brasseurs.com,3,TRUE,6000
Azuréenne,GRASSE,www.brasserie-lazureenne.com,3,TRUE,6130
Bacho Brewery,TOURRETTES-SUR-LOUP,bachobrewery.com,3,TRUE,6140
"Mistrale, Bière de la Riviera",TOURRETTES-SUR-LOUP,www.mistrale-bieredelariviera.fr,3,TRUE,6140
L'Avanture Noudt,VENCE,www.noudt.com,3,TRUE,6140
Chez le Brasseur,CANNES,www.chezlebrasseur.com,3,TRUE,6150
Blue Coast Brewing Company,NICE,bluecoastbrewing.com,3,TRUE,6200
d'Aqui,NICE,www.brasseriedaqui.com,3,TRUE,6300
du Barbare,LA TURBIE,,3,TRUE,6320
À La Fût,MOUANS-SARTOUX,www.alafut.fr,3,TRUE,6370
du Mangiabo,SOSPEL,www.brasseriedumangiabo.fr,3,TRUE,6380
"Berroise
Hugins Brew",BERRE-LES-ALPES,www.brasserieberroise.com,3,TRUE,6390
La Baieta,CLANS,www.brasserielabab.fr,3,TRUE,6420
Kamous,ISOLA,www.brasseriedukamous.com,3,TRUE,6420
Valdeblore,VALDEBLORE,cerf-voise.fr,3,TRUE,6420
La Castagna,TENDE,,3,TRUE,6430
des Ligures,LA GRAVE DE PEILLE,www.brasseriedesligures.com,3,TRUE,6440
du Comté,SAINT-MARTIN-VÉSUBIE,www.brasserieducomte.fr,3,TRUE,6450
Chronos,SAINT-VALLIER-DE-THIEY,biere-chronos.fr,3,TRUE,6460
Mare Nostrum,CASTILLON MENTON,www.marenostrumbrasseur-france.com,3,TRUE,6500
"La Mentounasc
IGGP",MENTON,www.lamentounasc.fr,3,TRUE,6500
Backyard Brews,VALBONNE,www.backyardbrews.fr,3,TRUE,6560
B06,ANTIBES,www.biereb06.fr,3,TRUE,6600
Craftazur,ANTIBES,craftazur.fr,3,TRUE,6600
Les 3 Brasseurs,ANTIBES,www.les3brasseurs.com,3,TRUE,6600
"Noiseless
The Beer Geeks",ANTIBES,noiseless.beer,3,TRUE,6600
des Baous,SAINT-JEANNET,brasserie-des-baous.fr,3,TRUE,6640
Chapot Maillard,VALDEROURE,www.lastoria.bio,3,TRUE,6750
La Cagnoise,CAGNES-SUR-MER,www.la-cagnoise.com,3,TRUE,6800
Vantorre,COUX,,3,TRUE,7000
Zéro.7,COUX,,3,TRUE,7000
Ardèche Brewing,PRIVAS,,3,TRUE,7000
Breuvages & Compagnie,LOUBARESSE,,3,TRUE,7110
Beerserk,ROCLES,,3,TRUE,7110
La Grincheuse,ROCLES,,3,TRUE,7110
La Rochebière,SANILHAC,www.la-rochebiere.fr,3,TRUE,7110
des Gorges de l'Ardèche,RUOMS,bgaruoms.fr,3,TRUE,7120
Krügs Brewpub,RUOMS,krugs-brewpub.jimdo.com,3,TRUE,7120
Loupoulo,RUOMS,www.loupoulo.fr,3,TRUE,7120
3:6:9 Bière Craft,SOYONS,369craft.beer,3,TRUE,7130
L'Helvii,LES VANS,,3,TRUE,7140
"La Fée Reyrolles
SARL Spicer",SAINTE-MARGUERITE-LAFIGÈRE,,3,TRUE,7140
La Fa'briquette,VAGNAS,,3,TRUE,7150
"du Pont d'Arc
Alchimia Brewing",VALLON-PONT-D'ARC,"www.bieres-alchimia.fr
bieres-pontdarc.fr",3,TRUE,7150
L'Art Des Chopes,LE CHEYLARD,,3,TRUE,7160
Les Tailleurs de Bières,SAINT-CHRISTOL,,3,TRUE,7160
Picolo Brasserie Ardéchoise,MIRABEL,,3,TRUE,7170
La Main Au Fût,SAINT-MAURICE-EN-CHALENCON,,3,TRUE,7190
Teddy Bière,AUBENAS,www.teddybiere.fr,3,TRUE,7200
Le Clap,SAINT-JULIEN-DU-SERRE,www.clapclapclap.fr,3,TRUE,7200
des Rieux,VOGÜÉ,www.brasseriedesrieux.fr,3,TRUE,7200
L'Estrouchat,VIVIERS,,3,TRUE,7220
Java,LABLACHÈRE,www.brasseriejava.com,3,TRUE,7230
de l'Ardèche Méridionale,ROSIÈRES,www.cevenale.fr,3,TRUE,7260
Kan Mêm,COLOMBIER-LE-JEUNE,,3,TRUE,7270
Free Mousse,SAINT-JEAN-DE-MUZOLS,www.brasserie-freemousse.fr,3,TRUE,7300
La Chouette Brasserie,TOURNON-SUR-RHÔNE,la-chouette-brasserie.business.site,3,TRUE,7300
La Chevrotine,SAINT-MARTIAL,,3,TRUE,7310
L'Agrivoise,SAINT AGREVE,www.lagrivoise.fr,3,TRUE,7320
Wildcat Brew,SAINT-ÉTIENNE-DE-VALOUX,,3,TRUE,7340
"des Sarments
EARL Du Moulin",TALENCIEUX,brasserie-des-sarments.com,3,TRUE,7340
L'Ale'Ouët,CHIROLS,,3,TRUE,7380
Drac,JAUJAC,brasseriedrac.fr,3,TRUE,7380
Le Duff,LE TEIL,brasserie-leduff.com,3,TRUE,7400
du Lavezon,SAINT-MARTIN-SUR-LAVEZON,,3,TRUE,7400
Longue Vie,SAINT-VICTOR,longue-vie.fr,3,TRUE,7410
Graine 2 Bulles,DAVÉZIEUX,www.facebook.com/grainedebulles,3,TRUE,7430
Haarddrëch,ALBOUSSIÈRE,,3,TRUE,7440
La Grange du Seigneur,CHAMPIS,www.brasserie-libertane.fr,3,TRUE,7440
Le Houblon Noir,SAINT-PAUL-LE-JEUNE,,3,TRUE,7460
Clariou,MAZAN-L'ABBAYE,,3,TRUE,7510
L'Arbrassous,USCLADES-ET-RIEUTORD,www.arbrassous.fr,3,TRUE,7510
Kokine,DÉSAIGNES,,3,TRUE,7570
Bourganel,VALS LES BAINS,www.bieres-bourganel.com,3,TRUE,7600
Bergoïata,BOURG-SAINT-ANDÉOL,,3,TRUE,7700
La Renarde,SAINT-REMÈZE,,3,TRUE,7700
JD,LA VOULTE-SUR-RHÔNE,,3,TRUE,7800
Volta,LA VOULTE-SUR-RHÔNE,brasserievolta.fr,3,TRUE,7800
La Serre & Ale,SAINT-CIERGE-LA-SERRE,,3,TRUE,7800
De Malt et d'Ô,CHARLEVILLE-MÉZIÈRES,www.biere-oubliette.com,3,TRUE,8000
Ma Poulperie,CHARLEVILLE-MÉZIÈRES,,3,TRUE,8000
d'Arthur,WARCQ,,3,TRUE,8000
"Charlier & Fils
La Quinarde",WARCQ,,3,TRUE,8000
d'Yvois,CARIGNAN,www.brasseriedyvois.fr,3,TRUE,8110
Les Coulous,MESSINCOURT,,3,TRUE,8110
Ardennaise de Haybes (BAH),HAYBES,,3,TRUE,8170
Ludanne,VILLERS-DEVANT-LE-THOURS,,3,TRUE,8190
Aux Gourmets Sedanais,SEDAN,auxgourmetssedanais.jimdofree.com,3,TRUE,8200
90,SEDAN,www.brasserie90.com,3,TRUE,8200
"AB Bière
La Margoulette",BERGNICOURT,www.bieres-la-margoulette.com,3,TRUE,8300
de la Laiterie,MOIRY,,3,TRUE,8370
"Ardwen
Société Ardennaise de Brasserie",LAUNOIS SUR VENCE,www.ardwen.fr,3,TRUE,8430
Bière de l'abbaye de Signy,SIGNY-L'ABBAYE,signy.fr,3,TRUE,8460
de Monthermé,MONTHERMÉ,,3,TRUE,8800
de la Fourche,FOIX,,3,TRUE,9000
Galemys,SAINT-JEAN-DU-FALGA,www.galemys.fr,3,TRUE,9100
"Les Bières d'Ax
Val-Ax",AX LES THERMES,,3,TRUE,9110
"Terres de Solan
SARL De Marens",CARLA BAYLE,,3,TRUE,9130
Co-Hop,PAILHÈS,www.brasserieco-hop.fr,3,TRUE,9130
La Boussole,TAURIGNAN-VIEUX,www.brasserie-laboussole.fr,3,TRUE,9190
d'Ariège Pyrénées,SAINT GIRONS,www.biere-ariege.com,3,TRUE,9200
SOS Bière,AUZAT,www.sos-biere.com,3,TRUE,9220
du Séronais,ALZEN,www.microbrasero.com,3,TRUE,9240
Le Grand Bison,LAVELANET,www.legrandbison.fr,3,TRUE,9300
de l'Éphémère,MASSAT,bim-brasserie.fr,3,TRUE,9320
Excentrique,VERNIOLLE,,3,TRUE,9340
Destral,TARASCON-SUR-ARIÈGE,www.destral.fr,3,TRUE,9400
L'Orge Folle,RIMONT,,3,TRUE,9420
Sucellus,MIREPOIX,,3,TRUE,9500
La Petite Sibérie,BONAC-IRAZEIN,www.lapetitesiberie.com,3,TRUE,9800
La Moussetach',TROYES,www.lamoussetach.fr,3,TRUE,10000
Moulin de Saint-Martin,SAINT MARTIN DE BOSSENAY,www.lemoulindesaintmartin.com,3,TRUE,10100
L'Once Troy,SAINT-GERMAIN,lonce-troy.fr,3,TRUE,10120
Thibord,PÂLIS,www.brasseriethibord.fr,3,TRUE,10190
Bulle de Paradis,ARSONVAL,www.bulle-de-paradis.com,3,TRUE,10200
La Roof,FOUCHÈRES,,3,TRUE,10260
Et Paf La Bière,VILLENAUXE-LA-GRANDE,,3,TRUE,10370
Les Anges Déchus,VILLENAUXE-LA-GRANDE,lesangesdechus.fr,3,TRUE,10370
Jumie,BUCHÈRES,,3,TRUE,10800
Brasseurs de la Cité,CARCASSONNE,brasseursdelacite.com,3,TRUE,11000
de Notre Dame,NARBONNE,www.ortola.fr,3,TRUE,11100
L'Antre de l'Echoppe,NARBONNE,www.echoppemedievale.net,3,TRUE,11100
"Les Têtes Plates
Ben et Clem",NARBONNE,www.lestetesplates.fr,3,TRUE,11100
"Sylvatica
Collectif de la Fontaine Ronde",COUNOZOULS,brasserie-sylvatica.com,3,TRUE,11140
Dona Carcas,PEYRIAC-MINERVOIS,www.donacarcas.fr,3,TRUE,11160
Gardiole,BIZANET,www.gardiole.fr,3,TRUE,11200
"Fox Hat Craft Brewery
Chapeau de Renard",HOMPS,www.foxhatcraftbrewery.fr,3,TRUE,11200
du Domaine des Cascades,RIBAUTE,www.domainelescascades.fr,3,TRUE,11220
des Voûtes,VAL-DE-DAGNE,,3,TRUE,11220
"du Quercorb
BDQ Beer Co.",CHALABRE,www.bdq.fr,3,TRUE,11230
Bièrerie dé Limós,CÉPIE,,3,TRUE,11300
La Mandra,SOULATGÉ,www.brasserielamandra.com,3,TRUE,11330
Parallèle 42,LEUCATE,,3,TRUE,11370
"des Chalets
La Mer à Boire",GRUISSAN,brasserielameraboire.com,3,TRUE,11430
L'Envolée,LA PALME,,3,TRUE,11480
5 Bis,LA PALME,www.brasserie5bis.com,3,TRUE,11480
La Citadine,CAVANAC,www.lacitadine.net,3,TRUE,11570
La Brasserie du Larzac,MILLAU,,3,TRUE,12100
La Calmettoise,ARVIEU,lacalmettoisebierepaysanne.wordpress.com,3,TRUE,12120
Beau Soleil,SAINT GENIEZ D'OLT,labeausoleil.fr,3,TRUE,12130
d'Olt,SAINT GENIEZ D'OLT,www.brasseriedolt.com,3,TRUE,12130
L'Armoire à Bière,LA CAPELLE-BLEYS,larmoireabiere.com,3,TRUE,12240
"BelAvé
Brasserie Ferme de la Rousse SAS",LA FOUILLADE,www.fermedelarousse.fr,3,TRUE,12270
"Najacoise
du Rouergue",NAJAC,www.najacoise.com,3,TRUE,12270
Mousses du Rouergue,DECAZEVILLE,www.moussesdurouergue.com,3,TRUE,12300
La Hocq,SAINT-CHRISTOPHE-VALLON,www.lahocq.fr,3,TRUE,12330
Bibemus,GABRIAC,microbrasseriebibemus.fr,3,TRUE,12340
L'Astrolabe,SAINT-AFFRIQUE,,3,TRUE,12400
Rivalte,SAINT-AFFRIQUE,www.facebook.com/RivalteBiereCraft,3,TRUE,12400
LVZ,ALRANCE,www.microbrasserielvz.com,3,TRUE,12430
La Grange des Dragons,LA SALVETAT-PEYRALÈS,grangedragons.com,3,TRUE,12440
La Caussenarde,SAINT BEAULIZE,www.ferme-brasserie-masandral.fr,3,TRUE,12540
du Barrez,MUR-DE-BARREZ,,3,TRUE,12600
de la Muze,CASTELNAU-PÉGAYROLS,www.brasserie-muze.com,3,TRUE,12620
