name,yeast_id,style_id,color_id,taste_id,level,photo,origine,,Title_URL,Title1,description,,
3 MONTS HÉRITAGE HOUBLONS  ,1,30,2,5,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615395/664e478de8bda750068515.png.webp,France,Belgian Pale Ale,https://www.vandb.fr/biere/3-monts-heritage-houblons-75-cl.html,Bouteille de 0.75 L,Blonde Belgian Pale Ale 7 % Saint Sylvestre - France,Blonde,%
3 MONTS HÉRITAGE LEVURE  ,1,19,2,5,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615415/664e47a4318f5180863068.png.webp,France,Strong Ale,https://www.vandb.fr/biere/3-monts-heritage-levure-75-cl.html,Bouteille de 0.75 L,Blonde Strong Ale 8 % Saint Sylvestre - France,Blonde,%
3 MONTS SAISON  ,1,75,2,1,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615413/664e47a1db5c0283688013.png.webp,France,Saison,https://www.vandb.fr/biere/3-monts-saison-33-cl.html,Bouteille de 0.33 L,Blonde Saison 6.5 % 3 Monts - France,Blonde,%
3 MONTS TRIPLE  ,1,31,2,2,9.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615407/664e479799405513840638.png.webp,France,Triple,https://www.vandb.fr/biere/3-monts-triple-33-cl.html,Bouteille de 0.33 L,Blonde Triple 9.5 % 3 Monts - France,Blonde,%
45 DAYS ORGANIC PILSNER  ,2,10,2,2,4.7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615843/664e4a94daa07955801295.png.webp,Danemark,Pils,https://www.vandb.fr/biere/45-days-organic-pilsner-33cl.html,Canette de 0.33 L,Blonde Pils 4.7 % To ØL - Danemark,Blonde,%
7 LOCOS TIRAMISU WHITE STOUT  ,1,94,2,2,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/610972/664e1d5142a3c400570151.png.webp,France,Stout,https://www.vandb.fr/biere/7-locos-tiramisu-white-stout-44-cl.html,Canette de 0.44 L,Blonde Stout 8 % La Débauche - France,Blonde,%
ABBAYE DES ROCS BRUNE  ,1,76,5,5,9,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614927/664e4459c5e8f038226644.png.webp,Belgique,Dark Ale,https://www.vandb.fr/biere/abbaye-des-rocs-brune-33cl.html,Bouteille de 0.33 L,Brune Dark Ale 9 % Abbaye des Rocs - Belgique,Brune,%
ACHEL BLONDE  ,1,19,2,5,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611319/664e238f505e5979707108.png.webp,Belgique,Strong Ale,https://www.vandb.fr/biere/achel-blonde-33-cl.html,Bouteille de 0.33 L,Blonde Strong Ale 8 % Achel - Belgique,Blonde,%
ACHEL BRUNE  ,1,76,5,5,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611323/664e23926c10e720464317.png.webp,Belgique,Dark Ale,https://www.vandb.fr/biere/achel-brune-33-cl.html,Bouteille de 0.33 L,Brune Dark Ale 8 % Achel - Belgique,Brune,%
AECHT SCHLENKERLA HELLES LAGER  ,2,13,2,2,4.3,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/522256/66069e603a4d3213066760.png.webp,Allemagne,Lager,https://www.vandb.fr/biere/aecht-schlenkerla-helles-lager-50-cl.html,Bouteille de 0.5 L,Blonde Lager 4.3 % Schlenkerla - Allemagne,Blonde,%
AECHT SCHLENKERLA RAUCHBIER MÄRZEN  ,2,64,6,8,5.1,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611329/664e23999befc702557072.png.webp,Allemagne,Rauchbier,https://www.vandb.fr/biere/aecht-schlenkerla-rauchbier-marzen-50-cl.html,Bouteille de 0.5 L,Noire Rauchbier 5.1 % Schlenkerla - Allemagne,Noire,%
ALBINO  ,1,40,2,2,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/522338/66069f0b4f5ea903838344.png.webp,Serbie,IPA,https://www.vandb.fr/biere/albino-33cl.html,Bouteille de 0.33 L,Blonde IPA 6.5 % Dogma - Serbie,Blonde,%
ALE DE HARDY,1,73,5,5,10.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/521722/66069a1a13e1c154747573.png.webp,Canada,Barley Wine,https://www.vandb.fr/biere/ale-de-hardy.html,Bouteille de 0.34 L,Brune Barley Wine 10.5 % Brasseurs du Monde - Canada,Brune,%
ALEXANDRE THE RYE AU CHOCOLAT MAÎTRE PÂTISSIER  ,1,94,6,2,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611010/664e1e4d00477838857107.png.webp,Pays-Bas,Stout,https://www.vandb.fr/biere/alexandre-the-rye-au-chocolat-maitre-patissier-44-cl.html,Canette de 0.44 L,Noire Stout 8 % Moersleutel - Pays-Bas,Noire,%
ALL THE ZEST  ,1,40,2,2,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/610451/664e124132e27228681623.png.webp,France,IPA,https://www.vandb.fr/biere/all-the-zest-44-cl.html,Canette de 0.44 L,Blonde IPA 6.5 % du Grand Paris - France,Blonde,%
ALL YOU NEED IS  ,2,2,4,1,6,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616071/664e4c24e123c729221252.png.webp,Espagne,Berliner Weisse,https://www.vandb.fr/biere/all-you-need-is-33-cl.html,Canette de 0.33 L,Rouge Berliner Weisse 6 % Freddo Fox - Espagne,Rouge,%
ALTHEA  ,1,33,2,2,4.8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614921/664e445179003518760426.png.webp,Irlande,Pale Ale,https://www.vandb.fr/biere/althea-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 4.8 % Galway Bay - Irlande,Blonde,%
AMARILLO  ,1,42,2,2,9.3,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614608/664e4229b06a2303807149.png.webp,Pays-Bas,Double IPA,https://www.vandb.fr/biere/amarillo-33cl.html,Bouteille de 0.33 L,Blonde Double IPA 9.3 % de Molen - Pays-Bas,Blonde,%
