id,name,city,website,type_id,active,zipcode
1869,L'Altruiste,SCHERWILLER,brasserie-laltruiste.fr,2,TRUE,67750
1870,Ellipsys,INNENHEIM,,2,TRUE,67880
1871,La Bossue,OERMINGEN,,2,TRUE,67970
1872,La Brasserie des Poules,HANGENBIETEN,labrasseriedespoules.fr,2,TRUE,67980
1873,du Grillen,COLMAR,brasseriedugrillen.com,2,TRUE,68000
1874,KS,COLMAR,www.brasserieks.fr,2,TRUE,68000
1875,Sainte Crucienne,COLMAR,www.sainte-cru.com,2,TRUE,68000
1876,des Halles,MULHOUSE,les-halles.fr/halles-nature-mulhouse,2,TRUE,68100
1877,des Quatre Pays,HIRTZBACH,www.des4pays.com,2,TRUE,68118
1878,de la Plaine,SAINTE-CROIX-EN-PLAINE,lorhinoise.fr,2,TRUE,68127
1879,SPO,GRIESBACH-AU-VAL,,2,TRUE,68140
1880,du Vignoble (Bra'v),RIBEAUVILLÉ,www.brasserie-vignoble.fr,2,TRUE,68150
1881,"de la Pépie'te d'Argent
Arts et Bières",SAINTE-MARIE-AUX-MINES,,2,TRUE,68160
1882,Écomusée d’Alsace,UNGERSHEIM,www.ecomusee.alsace/experiences/la-brasserie-du-musee,2,TRUE,68190
1883,La Potassine,UNGERSHEIM,,2,TRUE,68190
1884,Les Breuvages des Anges,UNGERSHEIM,,2,TRUE,68190
1885,Bières Taal,WIHR-AU-VAL,www.biere-taal.alsace,2,TRUE,68230
1886,Bisaiguë,KAYSERSBERG,www.bisaigue.alsace,2,TRUE,68240
1887,Dioller,DOLLEREN,www.brasseriedioller.com,2,TRUE,68290
1888,Kirchberger,KIRCHBERG,,2,TRUE,68290
1889,de Saint Louis,SAINT-LOUIS,www.saint-louis.biz,2,TRUE,68300
1890,Doc Brau,KUNHEIM,,2,TRUE,68320
1891,La B'ric,SOULTZ-HAUT-RHIN,bierelabric.fr,2,TRUE,68360
1892,La Tintamarre,BREITENBACH,la-tintamarre.fr,2,TRUE,68380
1893,du Marcaire,MUHLBACH-SUR-MUNSTER,,2,TRUE,68380
1894,G'sundgo,ESCHENTZWILLER,brasseriegsundgo.alsace,2,TRUE,68440
1895,de Lutterbach,LUTTERBACH,www.brasseriedelutterbach.fr,2,TRUE,68460
1896,Cabrio,FELLERING,www.brasseriecabrio.com,2,TRUE,68470
1897,du Réservoir,OLTINGUE,www.brasseriedureservoir.fr,2,TRUE,68480
1898,Radwulf,VIEUX-FERRETTE,www.radwulf.fr,2,TRUE,68480
1899,Sturchler,HOMBOURG,brasserie-sturchler.fr,2,TRUE,68490
1900,d'Émile,GUEBWILLER,www.labrasseriedemile.fr,2,TRUE,68500
1901,du Rhin - Site de Thierenbach,JUNGHOLTZ,bieredurhin.com,2,TRUE,68500
1902,La Bicéphale,SIERENTZ,www.labicephale.fr,2,TRUE,68510
1903,du Vallon,BOLLWILLER,brasserieduvallon.fr,2,TRUE,68540
1904,Suff'Bier,OBERSAASHEIM,www.brasserie-suffbier.com,2,TRUE,68600
1905,Saint Alphonse,VOGELGRUN,www.brasseriesaintalphonse.com,2,TRUE,68600
1906,Banz,LAUTENBACH,,2,TRUE,68610
1907,S'Humpaloch,LAUTENBACH,,2,TRUE,68610
1908,du Pays Welche,LAPOUTROIE,www.brasseriedupayswelche.fr,2,TRUE,68650
1909,Granica,ASPACH-MICHELBACH,,2,TRUE,68700
1910,Love/Craft,CERNAY,,2,TRUE,68700
1911,du Rhin - Site de Morschwiller,MORSCHWILLER-LE-BAS,bieredurhin.com,2,TRUE,68790
1912,L'Aubièregiste,THANN,www.laubieregiste.sitew.fr,2,TRUE,68800
1913,Le Comptoir du Brasseur,RÉGUISHEIM,www.lecomptoirdubrasseur.fr,2,TRUE,68890
1914,Boum'R,WETTOLSHEIM,www.boum-r.com,2,TRUE,68920
1915,La Beer Fabrique (Lyon),LYON,www.labeerfabrique.com,2,TRUE,69001
1916,Georges,LYON,"www.brasseriegeorges.com
www.bieresgeorges.com",2,TRUE,69002
1917,de Montchat,LYON,bieredemontchat.com,2,TRUE,69003
1918,Et la Bière Fût,LYON,www.etlabierefut.com,2,TRUE,69003
1919,Malting-Pot (site de Lyon 3),LYON,www.malting-pot.com,2,TRUE,69003
1920,Malting-Pot (site de Lyon 7),LYON,www.malting-pot.com,2,TRUE,69007
1921,Cosson,LYON,www.brasseriecosson.fr,2,TRUE,69008
1922,de l'Amour,VILLEURBANNE,www.brasseriedelamour.fr,2,TRUE,69100
1923,des Fragments,VAULX-EN-VELIN,,2,TRUE,69120
1924,Les 3 Brasseurs,ECULLY,www.les3brasseurs.com,2,TRUE,69130
1925,Dulion,RILLIEUX-LA-PAPE,www.brasseriedulion.com,2,TRUE,69140
1926,Mappiness,DÉCINES-CHARPIEU,www.mappinessbeer.com,2,TRUE,69150
1927,Demi-Lune,TASSIN-LA-DEMI-LUNE,demilune-brasserie.fr,2,TRUE,69160
1928,Hoodo,TARARE,www.hoodo.eu,2,TRUE,69170
1929,Ninkasi Fabriques,TARARE,www.ninkasi.fr,2,TRUE,69170
1930,Gones Brasseurs,VÉNISSIEUX,,2,TRUE,69200
1931,La Fabrique du Faubourg,VÉNISSIEUX,"www.brasseriegeorges.com
www.bieresgeorges.com",2,TRUE,69200
1932,Les 3 Brasseurs,VÉNISSIEUX,www.3brasseurs.com,2,TRUE,69200
1933,"Platypus - Brasserie
BièreLab",VÉNISSIEUX,brasserieplatypus.com,2,TRUE,69200
1934,Mutation,ÉVEUX,brasserie-mutation.fr,2,TRUE,69210
1935,Virage Sept,L'ARBRESLE,www.virage-sept.fr,2,TRUE,69210
1936,Prisca,SAIN-BEL,brasserie-prisca.fr,2,TRUE,69210
1937,Les Danaïdes,SAINT-GENIS-LAVAL,brasserie-lesdanaides.fr,2,TRUE,69230
1938,La Ronzynoise,THIZY-LES-BOURGS,,2,TRUE,69240
1939,Nepo,NEUVILLE-SUR-SAÔNE,brasserienepo.fr,2,TRUE,69250
