id,name,city,website,type_id,active,zipcode
2440,Barbe en Bulle,PEYRAT-LE-CHÂTEAU,,2,TRUE,87470
2441,Ferme collective La Tournerie,COUSSAC-BONNEVAL,terredeliens.org/la-tournerie,2,TRUE,87500
2442,Bières Lémovice,RAZÈS,,2,TRUE,87640
2443,La Stour,RILHAC-LASTOURS,www.brasserie-la-stour.fr,2,TRUE,87800
2444,La Fouillotte,ÉPINAL,www.lafouillotte.fr,2,TRUE,88000
2445,Les 3 Brasseurs,ÉPINAL,www.les3brasseurs.com,2,TRUE,88000
2446,Matrina America,SAINT-DIÉ-DES-VOSGES,matrina.fr,2,TRUE,88100
2447,du Pays des Lacs,CELLES-SUR-PLAINE,brasserieartisanaledupaysdeslacs.blogspot.fr,2,TRUE,88110
2448,La Chèvre Vagabonde,LUVIGNY,,2,TRUE,88110
2449,Marcellou,SAPOIS,,2,TRUE,88120
2450,La Pimbêche,VAGNEY,,2,TRUE,88120
2451,Le Domaine du Houblon,THAON-LES-VOSGES,ledomaineduhoublon.com,2,TRUE,88150
2452,"Marie-Thérèse
SAS du Pas de l'Âne",REMIREMONT,www.brasserie-marie-therese.fr,2,TRUE,88200
2453,Artisanale des Vosges,SAINT-ÉTIENNE-LÈS-REMIREMONT,www.brasserie-lamadelon.fr,2,TRUE,88200
2454,ESAT Les Ateliers du Bois Joli,SAINT-NABORD,,2,TRUE,88200
2455,de Quat'Sous,VECOUX,,2,TRUE,88200
2456,L'Opercule,SENONES,www.lopercule.fr,2,TRUE,88210
2457,La Golaye,XERTIGNY,www.lagolaye.fr,2,TRUE,88220
2458,La Clandestine,LES VOIVRES,,2,TRUE,88240
2459,du Chajoux,LA BRESSE,,2,TRUE,88250
2460,Kaméléon,LA BRESSE,,2,TRUE,88250
2461,La Rételère,LA BRESSE,aubergedelaretelere.fr,2,TRUE,88250
2462,Schott,LA BRESSE,www.brasserie-schott.fr,2,TRUE,88250
